study_id,title,year,source,stage,decision,exclusion_reason
S108,"Mental health and societal challenges among forced migrants of diverse sexual orientations, gender identities and gender expressions: health professionals' descriptions and interpretations.",2024,pubmed:38250794,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S109,A natural experiment in social security as public health measure: Experiences of international students as temporary migrant workers during two Covid-19 lockdowns.,2022,pubmed:36244108,title_abstract,exclude,5.2.3 current students
S110,Insomnia late in pregnancy is associated with perinatal anxiety: A longitudinal cohort study.,2019,pubmed:30735852,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S111,Help-seeking for depression among Vietnamese migrant workers in Japan and factors related to their intentions to seek help from a psychiatrist: a cross-sectional study.,2025,pubmed:39875905,title_abstract,exclude,5.1.2 low- or semi-skilled migrant workers
S112,"Acculturative stress, work-related psychosocial factors and depression in Korean-Chinese migrant workers in Korea.",2012,pubmed:22790523,title_abstract,exclude,5.1.2 low- or semi-skilled migrant workers
S113,Healthy Immigrant Effect or Under-Detection? Examining Undiagnosed and Unrecognized Late-Life Depression for Racialized Immigrants and Nonimmigrants in Canada.,2024,pubmed:37498769,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S114,"SALaMA study protocol: a mixed methods study to explore mental health and psychosocial support for conflict-affected youth in Detroit, Michigan.",2020,pubmed:31924196,title_abstract,exclude,5.2.6 review/protocol/commentary
S115,Adaptation and feasibility of a communication intervention for Mexican immigrant mothers and children in a school setting.,2014,pubmed:23616468,title_abstract,exclude,5.1.1 children/adolescents
S116,Parental migration patterns and risk of depression and anxiety disorder among rural children aged 10-18 years in China: a cross-sectional study.,2015,pubmed:26715475,title_abstract,exclude,5.1.1 children/adolescents
S117,"'Wait and wait, that is the only thing they can say': a qualitative study exploring experiences of immigrated Syrian doctors applying for medical license in Germany.",2020,pubmed:32321507,title_abstract,include,
S118,Clinicians' lived experience of concealing bad news: a qualitative study in Malaysia and the UK.,2025,pubmed:40447427,title_abstract,exclude,5.2.5 IMGs interviewed about disclosure ethics; no depressive-symptom outcome
S119,Qualitative study on mental health and well-being of Syrian refugees and their coping mechanisms towards integration in the UK.,2021,pubmed:34417211,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S120,Pain intensity and severe pain in young immigrant patients with long-standing back pain.,2008,pubmed:17952473,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S121,Adverse Childhood Experiences and Depressive Symptoms among Young Adult Hispanic Immigrants: Moderating and Mediating Effects of Distinct Facets of Acculturation Stress.,2022,pubmed:34524941,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S122,"Protocol for a multi-phase, mixed methods study to develop and evaluate culturally adapted CBT to improve community mental health services for Canadians of south Asian origin.",2021,pubmed:34488853,title_abstract,exclude,5.2.6 review/protocol/commentary
S123,Health of black children and youth in canada: a scoping review.,2025,pubmed:40898226,title_abstract,exclude,5.2.6 review/protocol/commentary
S124,Trajectories of ethnic-racial discrimination among ethnically diverse early adolescents: associations with psychological and social adjustment.,2014,pubmed:25345480,title_abstract,exclude,5.1.1 children/adolescents
S125,"Undiagnosed depression, persistent depressive symptoms and seeking mental health care: analysis of immigrant and non-immigrant participants of the Canadian Longitudinal Study of Aging.",2020,pubmed:32792036,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S126,Gender inequalities in the prevalence of low mood and related factors in schooled adolescents during the 2019-2020 school year: DESKcohort project.,2023,pubmed:37084966,title_abstract,exclude,5.1.1 children/adolescents
S127,Community-based diabetes prevention randomized controlled trial in refugees with depression: effects on metabolic outcomes and depression.,2023,pubmed:37253820,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S128,Multiple Chronic Conditions and Disability among Vietnamese Older Adults: Results from the Vietnamese Aging and Care Survey (VACS).,2024,pubmed:37249829,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S129,"Migrant well-being and undocumented status in South Korea: a cross-sectional assessment of physical, psychological, social well-being, and health behaviors.",2024,pubmed:38409005,title_abstract,exclude,5.1.2 low- or semi-skilled migrant workers
S130,Socioeconomic determinants affecting the access and utilization of depression care services in immigrants: A population-based study.,2019,pubmed:30865684,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S131,Mexican-origin parents' work conditions and adolescents' adjustment.,2015,pubmed:25938710,title_abstract,exclude,5.1.1 children/adolescents
S132,Comparison of the consumption of antidepressants in the immigrant and native populations in a Spanish health region: an observational study.,2010,pubmed:20478063,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S133,Mother-adolescent language proficiency and adolescent academic and emotional adjustment among Chinese American families.,2009,pubmed:19636729,title_abstract,exclude,5.1.1 children/adolescents
S134,"Effectiveness of psychosocial school interventions in Finnish schools for refugee and immigrant children, ""Refugees Well School"" in Finland (RWS-FI): a protocol for a cluster randomized controlled trial.",2022,pubmed:35086535,title_abstract,exclude,5.2.6 review/protocol/commentary
S135,Experiences of peripartum depressive symptoms among Chinese middle-class migrant women in the Netherlands: a qualitative study of migrant motherhood.,2023,pubmed:37670269,title_abstract,include,
S136,"The use of youth healthcare services and its association with health-related quality of life, physical and mental health and over-the-counter analgesics use in 13-19-year-old adolescents: a cross-sectional study.",2024,pubmed:38183040,title_abstract,exclude,5.1.1 children/adolescents
S137,"""We are the sun for our community:"" Partnering with community health workers/promotores to adapt, deliver and evaluate a home-based collaborative care model to improve equity in access to quality depression care for older U.S. Latino adults who are underserved.",2023,pubmed:36817932,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S138,Assessing the psychosocial work environment of migrant and non-migrant workers in inpatient mental health centres: A feasibility study.,2022,pubmed:36170329,title_abstract,include,
S139,Changes in health after a work-related intervention among highly educated migrants in Norway: a pilot study.,2025,pubmed:41174618,title_abstract,include,
S140,Prevalence of Depressive Symptoms and Associated Factors among Internal Migrants with Tuberculosis: A Cross-Sectional Study in China.,2020,pubmed:31701867,title_abstract,exclude,5.2.1 internal migration
S141,Postpartum depression in special populations: a review.,2012,pubmed:22624779,title_abstract,exclude,5.2.6 review/protocol/commentary
S142,"Mental, neurological and substance use disorders among the Latino migrant population in the United States who visited the Health Windows and Mobile Health Units in 2021.",2023,pubmed:36815159,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S143,"Obstructive sleep apnea, posttraumatic stress disorder, and health in immigrants.",2012,pubmed:23023679,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S144,Effect on breastfeeding practices of providing in-home lactation support to vulnerable women through the Canada Prenatal Nutrition Program: protocol for a pre/post intervention study.,2021,pubmed:34215288,title_abstract,exclude,5.2.6 review/protocol/commentary
S145,"Depression prevalence and primary care among vulnerable patients at a free outpatient clinic in Paris, France, in 2010: results of a cross-sectional survey.",2013,pubmed:24118896,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S146,"Internet-based, culturally sensitive, problem-solving therapy for Turkish migrants with depression: randomized controlled trial.",2013,pubmed:24121307,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S147,"Do good, stay well. Well-being and work satisfaction among German refugee helpers: A national cross-sectional study.",2018,pubmed:30586450,title_abstract,exclude,5.1.2 German refugee helpers (61.6% academics) are not migrants
S148,"Prevalence of Diabetes and Health-Related Quality of Life Among Rural-to-Urban Nong Zhuan Fei Migrants in an Urban Area of Northern China, 2013.",2016,pubmed:26843683,title_abstract,exclude,5.2.1 internal migration
S149,'I don't talk about my distress to others; I feel that I have to suffer my problems...' Voices of Indian women with breast cancer: a qualitative interview study.,2021,pubmed:32955655,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S150,Mothers' accounts of the impact on emotional wellbeing of organised peer support in pregnancy and early parenthood: a qualitative study.,2017,pubmed:28086827,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S151,A pilot of an intervention delivered to Chinese- and Spanish-speaking carers of people with dementia in Australia.,2014,pubmed:24085251,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S152,Examining the association of food insecurity with mental health and academic performance among Latinx immigration-impacted students.,2025,pubmed:39992298,title_abstract,exclude,5.2.3 current students
S153,Disparities in detection and treatment history among mothers with major depression in Los Angeles.,2009,pubmed:19589472,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S154,Unintentional Discrimination Against Patients with a Migration Background by General Practitioners in Mental Health Management: An Experimental Study.,2023,pubmed:36646890,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S155,"Social Networks and Depressive Symptoms among Chinese Older Immigrants: Does Quantity, Quality, and Composition of Social Networks Matter?",2021,pubmed:31322054,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S156,The Prevalence and Socio-Demographic Correlates of Depressive Symptoms in Early Adolescents in China: Differences in Only Child and Non-Only Child Groups.,2020,pubmed:31936468,title_abstract,exclude,5.1.1 children/adolescents
S157,Mental health and resiliency following 44 months of terrorism: a survey of an Israeli national representative sample.,2006,pubmed:16934160,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S158,Health impacts of parental migration on left-behind children and adolescents: a systematic review and meta-analysis.,2018,pubmed:30528471,title_abstract,exclude,5.2.6 review/protocol/commentary
S159,Downward social mobility and major depressive episodes among Latino and Asian-American immigrants to the United States.,2009,pubmed:19671834,title_abstract,include,
S160,Pathways to depression care: help-seeking experiences of low-income Latinos with diabetes and depression.,2012,pubmed:22367667,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S161,A Qualitative Study of the Health Perceptions in the Venezuelan Immigrant Population in Medellín (Colombia) and Its Conditioning Factors.,2021,pubmed:33917688,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S162,Primary care professional's perspectives on treatment decision making for depression with African Americans and Latinos in primary care practice.,2014,pubmed:24104206,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S163,Health Status of Afghan Refugees in Europe: Policy and Practice Implications for an Optimised Healthcare.,2022,pubmed:35954518,title_abstract,exclude,5.2.6 review/protocol/commentary
S164,Guided self-help on the Internet for Turkish migrants with depression: the design of a randomized controlled trial.,2010,pubmed:21047442,title_abstract,exclude,5.2.6 review/protocol/commentary
S165,Distinct trajectories in the transition to adulthood: are children of immigrants advantaged?,2012,pubmed:22966927,title_abstract,exclude,5.1.1 children/adolescents
S166,'You withhold what you are feeling so you can have a family': Latinas' perceptions on community values and postpartum depression.,2021,pubmed:34215669,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
