pmid,title,year,journal,pub_types,language,abstract
38702344,Decoding the impact of night/day shiftwork on well-being among healthcare  workers.,2024,Sci Rep,"Journal Article; Research Support, Non-U.S. Gov't",eng,"This study delved into the complex effects of work schedules on the well-being of  healthcare professionals, spotlighting Nigeria's medical landscape. A diverse cohort of 387 participants, spanning doctors, nurses, pharmacists, and laboratory technicians or scientists, formed the research base, with the majority being women (67.7%), with a mean age of 34.67 years. Professionals self-reported their predominant schedules to gauge work patterns, classifying them as day or night shifts. The World Health Organization Quality of Life Brief Version (WHOQOL-BREF) tool assessed the quality of life across the physical, psychological, social relationship, and environmental domains. Psychological distress was measured using the Depression, Anxiety, and Stress Scales (DASS), and perceived social support was evaluated via the Multidimensional Scale of Perceived Social Support (MSPSS). A cross-sectional design was adopted, and the study employed moderated mediation analysis using SmartPLS 4.0. The results underscored the significant ramifications of night shifts on environmental and physical well-being. Psychological health and social relationships were better among day shift than night shift workers. There was a pronounced correlation between night shifts and heightened levels of anxiety, stress, and depression. The mediating role of psychological distress and the moderating influence of social support in these relationships were evident. This study offers invaluable insights into the role of work schedules in shaping the well-being of healthcare professionals, emphasising the protective role of social support and the unique challenges faced by migrant health workers."
31650305,"Private religion/spirituality, self-rated health, and mental health among US  South Asians.",2020,Qual Life Res,Journal Article,eng,"PURPOSE: Connections between private religion/spirituality and health have not  been assessed among US South Asians. The aim of this study was to examine the relationship between private religion/spirituality and self-rated and mental health in a community-based sample of US South Asians. METHODS: Data from the Mediators of atherosclerosis in South Asians living in America (MASALA) study (collected 2010-2013 and 2015-2018) and the attendant study on stress, spirituality, and health (n = 881) were analyzed using OLS regression. Self-rated health measured overall self-assessed health. Emotional functioning was measured using the mental health inventory-3 index (MHI-3) and Spielberger scales assessed trait anxiety and trait anger. Private religion/spirituality variables included prayer, yoga, belief in God, gratitude, theistic and non-theistic spiritual experiences, closeness to God, positive and negative religious coping, divine hope, and religious/spiritual struggles. RESULTS: Yoga, gratitude, non-theistic spiritual experiences, closeness to God, and positive coping were positively associated with self-rated health. Gratitude, non-theistic and theistic spiritual experiences, closeness to God, and positive coping were associated with better emotional functioning; negative coping was associated with poor emotional functioning. Gratitude and non-theistic spiritual experiences were associated with less anxiety; negative coping and religious/spiritual struggles were associated with greater anxiety. Non-theistic spiritual experiences and gratitude were associated with less anger; negative coping and religious/spiritual struggles were associated with greater anger. CONCLUSION: Private religion/spirituality is associated with self-rated and mental health. Opportunities may exist for public health and religious care professionals to leverage existing religion/spirituality for well-being among US South Asians."
17650339,Use of mental health services among disaster survivors: predisposing factors.,2007,BMC Public Health,Journal Article,eng,"BACKGROUND: Given the high prevalence of mental health problems after disasters  it is important to study health services utilization. This study examines predictors for mental health services (MHS) utilization among survivors of a man-made disaster in the Netherlands (May 2000). METHODS: Electronic records of survivors (n = 339; over 18 years and older) registered in a mental health service (MHS) were linked with general practice based electronic medical records (EMRs) of survivors and data obtained in surveys. EMR data were available from 16 months pre-disaster until 3 years post-disaster. Symptoms and diagnoses in the EMRs were coded according to the International Classification of Primary Care (ICPC). Surveys were carried out 2-3 weeks and 18 months post-disaster, and included validated questionnaires on psychological distress, post-traumatic stress reactions and social functioning. Demographic and disaster-related variables were available. Predisposing factors for MHS utilization 0-18 months and 18-36 months post-disaster were examined using multiple logistic regression models. RESULTS: In multiple logistic models, adjusting for demographic and disaster related variables, MHS utilization was predicted by demographic variables (young age, immigrant, public health insurance, unemployment), disaster-related exposure (relocation and injuries), self-reported psychological problems and pre- and post-disaster physician diagnosed health problems (chronic diseases, musculoskeletal problems). After controlling for all health variables, disaster intrusions and avoidance reactions (OR:2.86; CI:1.48-5.53), hostility (OR:2.04; CI:1.28-3.25), pre-disaster chronic diseases (OR:1.82; CI:1.25-2.65), injuries as a result of the disaster (OR:1.80;CI:1.13-2.86), social functioning problems (OR:1.61;CI:1.05-2.44) and younger age (OR:0.98;CI:0.96-0.99) predicted MHS utilization within 18 months post-disaster. Furthermore, disaster intrusions and avoidance reactions (OR:2.29;CI:1.04-5.07) and hostility (OR:3.77;CI:1.51-9.40) predicted MHS utilization following 18 months post-disaster. CONCLUSION: This study showed that several demographic and disaster-related variables and self-reported and physician diagnosed health problems predicted post-disaster MHS-use. The most important factors to predict post-disaster MHS utilization were disaster intrusions and avoidance reactions and symptoms of hostility (which can be identified as symptoms of PTSD) and pre-disaster chronic diseases."
40307864,Migrants' experiences as health ambassadors during the COVID-19 pandemic in  Norway-a qualitative study.,2025,Int J Equity Health,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: In response to the high incidence of COVID-19 infections among  migrants, and lack of information, several interventions relying on migrants to deliver information to their peers were implemented. Although these strategies seem to be effective, the experiences of the migrants disseminating health information have not been studied. The Health Ambassador Project (HA-project) was one of such projects connecting key members from migrant communities (Health Ambassadors (HAs)) with health experts and the municipality, to disseminate health information to migrants. The HA-project was conducted in Bergen, Norway, in 2021-2022. This study aims to understand the experiences of the HAs during their involvement in the HA-project, how their role affected them in positive or negative ways and how they coped with eventual difficulties in the role. METHODS: We conducted individual interviews in January 2023 with seven HAs. The interviews were transcribed and analyzed using systematic text condensation. FINDINGS: Participating in the HA-project was predominantly a positive experience for all HAs, by acquiring a sense of meaning and of being considered a valuable resource during the COVID-19 pandemic. There were positive social and professional aspects related to being able to meet other HAs and learning from each other's experiences. However, psychological distress was reported related to the responsibility of conveying correct health information about the COVID-19 pandemic to fellow migrants and fighting misinformation. Several HAs used more of their free time than was expected of them, helping people in practical ways. HAs from Ukraine joined the project in 2022 and experienced their roles as more stressful given limitations in the availability of interpretation when collaborating with the experts. CONCLUSION: Targeted health interventions relying on migrants to address their peers should consider the experiences of those distributing information and minimize their psychological stress."
28637536,Mental health morbidity among people subject to immigration detention in the UK:  a feasibility study.,2018,Epidemiol Psychiatr Sci,Journal Article,eng,"AIMS: The UK has one of the largest systems of immigration detention in Europe..  Those detained include asylum-seekers and foreign national prisoners, groups with a higher prevalence of mental health vulnerabilities compared with the general population. In light of little published research on the mental health status of detainees in immigration removal centres (IRCs), the primary aim of this study was to explore whether it was feasible to conduct psychiatric research in such a setting. A secondary aim was to compare the mental health of those seeking asylum with the rest of the detainees. METHODS: Cross-sectional study with simple random sampling followed by opportunistic sampling. Exclusion criteria included inadequate knowledge of English and European Union nationality. Six validated tools were used to screen for mental health disorders including developmental disorders like Personality Disorder, Attention Deficit Hyperactivity Disorder (ADHD), Autistic Spectrum Disorder (ASD) and Intellectual Disability, as well as for needs assessment. These were the MINI v6, SAPAS, AQ-10, ASRS, LDSQ and CANFOR. Demographic data were obtained using a participant demographic sheet. Researchers were trained in the use of the screening battery and inter-rater reliability assessed by joint ratings. RESULTS: A total of 101 subjects were interviewed. Overall response rate was 39%. The most prevalent screened mental disorder was depression (52.5%), followed by personality disorder (34.7%) and post-traumatic stress disorder (20.8%). 21.8% were at moderate to high suicidal risk. 14.9 and 13.9% screened positive for ASD and ADHD, respectively. The greatest unmet needs were in the areas of intimate relationships (76.2%), psychological distress (72.3%) and sexual expression (71.3%). Overall presence of mental disorder was comparable with levels found in prisons. The numbers in each group were too small to carry out any further analysis. CONCLUSION: It is feasible to undertake a psychiatric morbidity survey in an IRC. Limitations of the study include potential selection bias, use of screening tools, use of single-site study, high refusal rates, the lack of interpreters and lack of women and children in study sample. Future studies should involve the in-reach team to recruit participants and should be run by a steering group consisting of clinicians from the IRC as well as academics."
25385090,Examining Pre-migration Health Among Filipino Nurses.,2015,J Immigr Minor Health,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",eng,"The healthy immigrant hypothesis asserts that immigrants arrive in the receiving  country healthier than same race/ethnic counterparts born there. Contemporary research, however, has not evaluated pre-migration health among migrants, nor has explicitly considered comparisons with non-migrants in the country of origin. Pre-migration health was examined among 621 Filipino nurses, including self-reported physical health, mental health, health behaviors, and social stress. Measures were compared by intention to migrate and also tested as predictors of actual migration using time-to-event analysis. Nurses intending to migrate had higher proportion of depression and reported higher general perceived stress compared to those not. Predictors of actual migration included age, mentally unhealthy days, social strain, and social support. Physical health and health behavior measures had no association with migration intention or actual migration. Findings suggest that, relative to those not intending to migrate, nurses intending to migrate have worse mental health status and social stress; and, do not have a physical health advantage. Future research must span the pre- to post-migration continuum to better understand the impact of moving from one country to another on health and well-being."
29936911,The tip of the iceberg: postpartum suicidality in Israel.,2018,Isr J Health Policy Res,Journal Article,eng,"BACKGROUND: Postpartum suicidality, a result of extreme distress or depression,  is a tragedy for the woman, infant, and family. Screening for postpartum depression (PPD) is mandatory in Israel, including a question on suicidal ideation. This study presents and analyzes data regarding rates, trends and characteristics of postpartum women who considered, attempted, or completed suicide, to help direct services aimed at preventing these occurrences. METHODS: Suicidal ideation data based on PPD screening was drawn from various publications and databases. Suicide attempt data was obtained from the Emergency Department database for 2006-2015 and matched with the National Birth Registry. Cause of death from the national database for those years were similarly linked to births to identify postpartum suicides and deaths. Postpartum and non-postpartum suicide attempt rates were computed by year, and by age and ethnic/immigrant group. A multivariate logistic model was used to estimate relative risk for postpartum attempts, controlling for age and ethnic group. RESULTS: Suicidal ideation in recent years has been reported as 1% or less, with higher rates found in studies of Arab women. Suicide attempt rates for non-postpartum women were 3-5 times that of postpartum women, rising over the years, while remaining relatively stable for postpartum women. Adjusted risk of suicide attempt for non-postpartum women was significantly higher; adjusted odds ratio was 4.08 (95% CI 3.75-4.44). It was also significantly higher for Arabs and immigrants from the Former Soviet Union, compared to Israeli-born Jews/veteran immigrants, and for younger women compared to those aged 35-44. Seven postpartum suicides were recorded during 2006-2015, a rate of 0.43 per 100,000 births. CONCLUSION: Postpartum suicidality in Israel is low relative to other countries. Although relatively rare and lower than among non-postpartum women, health professionals should be attentive to risk factors, such as past psychiatric disorders, suicide attempts and current emotional distress, particularly among higher-risk populations. The universal screening program for PPD is a valuable opportunity for this, but increased resources should be allotted to implement and utilize it optimally. Prenatal screening should be added as an Israeli Quality Indicator, and postpartum completed suicides should be thoroughly investigated to guide prevention efforts."
36286247,Examining Processes of Care Redesign: Direct Observation of Group Well-Child  Care.,2023,Clin Pediatr (Phila),"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",eng,"We sought to describe processes of psychosocial screening and discussion with  immigrant Latino families in the context of group well-child care. We conducted longitudinal direct observations of the 1-, 2-, 4-, and 6-month visits of 7 group well-child care cohorts at an academic pediatric clinic using unstructured observations of visit and group processes as well as structured observations to code facilitators' behavior. A range of psychosocial and social determinants of health topics were incorporated into discussions. In general, providers skillfully navigated group discussions, but inconsistently introduced the visit purpose. Asking participants to define psychosocial terms (eg, stress) and conversations about managing fussy infants were effective strategies to engage families in psychosocial discussions (eg, about postpartum depression). Some challenges with workflow were identified. Strategies to enhance screening and discussion of psychosocial topics may benefit from adaptation to maximize the effectiveness of this care mechanism."
30389055,HIV and religion in HIV-infected Asians and their families: A qualitative study.,2018,Appl Nurs Res,"Journal Article; Research Support, N.I.H., Extramural",eng,"AIM: This paper examines HIV-infected Asian Americans' experiences with religion  throughout the course of their illness and their family relationships. BACKGROUND: As the number of Asians in the United States continues to grow, health professionals are beginning notice obvious gaps of knowledge in caring for this population, including HIV-infected individuals. Little is known about the impact of religion and faith on Asian Americans with HIV and their families. The study focuses on the participants' reported experiences to understand the variety of roles religion can play in the progression of a highly stigmatized chronic disease. METHODS: An in-depth interview was conducted in San Francisco and New York City with 30 HIV-infected Asians. Narrative samples and summarized responses was used to highlight themes that emerged from the participants' anecdotes. Interpretive content analysis was employed. RESULTS: These groups were categorized as (a) those who did not adhere to any religion, (b) those of tenuous religious faith with conflicted feelings, and (c) those of strong religious faith with congruent beliefs. Within these three groups, various themes were synthesized from the members' perceptions and past experiences with religion. Within each group, participants displayed various stages of reconciliation with their current faith-related beliefs and escape the family stress from their religion practices. Each participant's story shown the vast range of human understanding and faith experiences including self-actualization, acculturation, and depression. CONCLUSIONS: This research provides new insight on the challenge of managing HIV-infected patients in a culturally and religiously appropriate manner."
38010823,Interactions of perinatal depression versus anxiety and infants' early  temperament trajectories.,2024,Child Dev,Journal Article,eng,"This study examines the interplay between maternal depression/anxiety and infant  temperament's developmental trajectory in 1687 Swedish-speaking mother-infant dyads from Uppsala County (2009-2019), Sweden. The sample includes a high proportion of university-educated individuals and a low share of foreign-born participants. Maternal depressive and anxiety symptoms were assessed using the Edinburgh Postnatal Depression Scale during gestational weeks 17 and 32 and postpartum at week 6. Multinomial regression explored associations between maternal variables and infant temperament trajectories at 6 weeks, 12 months, and 18 months. Prenatal anxiety is associated with the high-rising infant difficult temperament trajectory, while prenatal depression/anhedonia is associated with the stable-medium trajectory, attenuated postpartum. Associations between infant temperament and maternal mood depended on timing (pre/postpartum) and symptom type (depression/anhedonia vs. anxiety)."
20821266,Assessing psychological symptoms in recent immigrant adolescents.,2011,J Immigr Minor Health,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",eng,"Immigrant youth are often exposed to numerous psychosocial stressors, placing  them at risk for psychological distress. Little research assesses psychopathology in this population during early stages of acculturation. This study compared student and teacher reports of psychological symptoms in a diverse sample of recently immigrated youth. Students (N = 174) attended public high schools in a northeastern city. Students and teachers independently completed the Achenbach System of Empirically Based Assessment, and four DSM-derived subscales were explored. Psychological symptoms among immigrant students were higher than normative rates. Across all subscales, teacher ratings of student symptoms were significantly lower than student self-reported symptoms, and this difference was larger than that found in a normative sample. Results suggest that many immigrant youth experience psychological problems but may not be perceived as being in distress. Therefore, the most effective assessment approach may be active screening, rather than relying on self initiated help-seeking or teacher observation alone."
14573588,Women brothel workers and occupational health risks.,2003,J Epidemiol Community Health,Journal Article; Multicenter Study,eng,"STUDY OBJECTIVES: This study examined working conditions, reported morbidity,  symptoms of post-traumatic stress disorder (PTSD) and depression and their relation to an index of occupational health risk among women working in brothels in Israel. DESIGN: Personal structured interviews with a scale of occupational risk that included seven self report items reflecting past and present morbidity and symptoms. PARTICIPANTS AND SETTING: A purposive sample of 55 women in three cities in Israel, between the ages of 18-38. MAIN RESULTS: Most (82%) women were trafficked into Israel to work illegally in prostitution, effectively deriving them of access to discretionary health care. A third of the sample (32%) had a high score (between 3 to 6) on the index of occupational risk factors. A high score was not related to recent physician or gynaecological visits and was more common among illegal workers than those with residence status. A set of regression analyses showed that the most significant predictors of reporting a high level of occupational risk symptoms were starting sex work at an early age, the number of hours worked in a day, a history of suicide attempts and PTSD symptoms. CONCLUSIONS: High occupational risk was found to be unrelated to recent physician or gynaecological visits, indicating that these visits were most probably controlled by the brothel owners and not by medical need as perceived by the women themselves. Furthermore, occupational risk factors were associated with some of the working and background conditions reported by women brothel workers. There is an urgent need for medical care for this high risk group."
