row,query,pexels_url,author,author_url,duration_s
27,pieces of puzzle clue,https://www.pexels.com/video/a-person-playing-puzzles-with-a-kind-message-9196822/,Ron Lach,https://www.pexels.com/@ron-lach,36
28,doctor white coat hanging,https://www.pexels.com/video/person-wearing-latex-gloves-7579838/,cottonbro studio,https://www.pexels.com/@cottonbro,20
29,podcast microphone studio interview,https://www.pexels.com/video/a-person-doing-a-podcast-7586494/,Los Muertos Crew,https://www.pexels.com/@cristian-rojas,22
30,telephone ringing unanswered,https://www.pexels.com/video/a-ringing-vintage-telephone-1721320/,Videogrammer .com,https://www.pexels.com/@videogrammer-com-839067,6
31,surgeon operating room,https://www.pexels.com/video/surgeon-doing-an-dental-operation-7584841/,cottonbro studio,https://www.pexels.com/@cottonbro,21
32,woman hijab job interview,https://www.pexels.com/video/women-wearing-hijab-sitting-on-an-office-chair-10347884/,Ron Lach,https://www.pexels.com/@ron-lach,44
33,handshake hospital corridor,https://www.pexels.com/video/a-couple-finding-a-room-in-a-hallway-6997938/,Pavel Danilyuk,https://www.pexels.com/@pavel-danilyuk,16
34,passport stamp close up,https://www.pexels.com/video/close-up-of-a-map-and-a-compass-7235862/,Nataliya Vaitkevich,https://www.pexels.com/@n-voitkevich,19
35,video call family phone,https://www.pexels.com/video/two-woman-and-a-baby-having-fun-dancing-5974720/,KATRIN  BOLOVTSOVA,https://www.pexels.com/@ekaterina-bolovtsova,13
36,paused calendar waiting,https://www.pexels.com/video/flat-laying-the-november-calendar-over-the-wooden-table-5692153/,Monstera Production,https://www.pexels.com/@gabby-k,12
37,five candles lit table,https://www.pexels.com/video/lit-candles-on-a-table-in-a-dark-room-34434678/,Shanto Debnath,https://www.pexels.com/@shantodebnath27,5
38,lecture hall teaching university,https://www.pexels.com/video/university-teacher-using-his-laptop-8196809/,Yan Krukau,https://www.pexels.com/@yankrukov,13
39,woman smiling sunlight walking,https://www.pexels.com/video/a-woman-walking-in-the-woods-5894802/,Gustavo Fring,https://www.pexels.com/@gustavo-fring,22
40,child holding parent hand,https://www.pexels.com/video/close-up-view-of-a-parent-and-child-holding-each-other-s-hands-8576686/,PNW Production,https://www.pexels.com/@pnw-prod,8
41,colleagues coffee break laughing,https://www.pexels.com/video/business-people-having-a-break-7490405/,RDNE Stock project,https://www.pexels.com/@rdne,19
42,doctor wearing white coat,https://www.pexels.com/video/person-wearing-latex-gloves-7579838/,cottonbro studio,https://www.pexels.com/@cottonbro,20
43,person studying language book,https://www.pexels.com/video/close-up-of-reading-book-13244437/,K,https://www.pexels.com/@kelly,8
44,neighbour waving welcome,https://www.pexels.com/video/a-man-waving-his-hands-8627747/,Pavel Danilyuk,https://www.pexels.com/@pavel-danilyuk,5
45,person writing list planning,https://www.pexels.com/video/person-writing-notes-6781562/,Artem Podrez,https://www.pexels.com/@artempodrez,10
46,two people different directions,https://www.pexels.com/video/man-and-woman-face-together-6278067/,ShotPot,https://www.pexels.com/@shotpot,12
47,man leaving taxi walking to hospital,https://www.pexels.com/video/chinatown-montreal-12279752/,Max Medyk,https://www.pexels.com/@maxmedyk,5
48,researcher writing notes,https://www.pexels.com/video/person-writing-on-a-notebook-4443243/,Polina Tankilevitch,https://www.pexels.com/@polina-tankilevitch,2
49,doctor portrait thoughtful,https://www.pexels.com/video/doctor-looking-at-the-camera-5453700/,Tima Miroshnichenko,https://www.pexels.com/@tima-miroshnichenko,13
50,people working office montage,https://www.pexels.com/video/people-meeting-at-office-desk-6248593/,Kampus Production,https://www.pexels.com/@kampus,9
51,manager answering phone,https://www.pexels.com/video/man-answering-a-call-while-working-8426332/,Kampus Production,https://www.pexels.com/@kampus,20
52,people sharing phone video,https://www.pexels.com/video/woman-taking-selfie-with-family-7157041/,Kampus Production,https://www.pexels.com/@kampus,12
